,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,PTV
2282,8 Veronica Crescent Mill Park VIC 3082,450.0,"[-37.6744558, 145.0726397]",3,2,2,House,Barry Plant Bundoora,3082,"[223.68102019, 359.59775125, 475.3401156]"
2283,12 Randell Court Mill Park VIC 3082,450.0,"[-37.6550369, 145.0523738]",4,2,2,House,Barry Plant Bundoora,3082,"[667.12035028, 668.34083662, 832.58080687]"
2284,23 Golflinks Drive Mill Park VIC 3082,380.0,"[-37.6616646, 145.0504357]",3,1,1,House,   Love & Co,3082,"[121.24390999, 1060.25409506, 1097.96331253]"
2285,51 Jacaranda Drive Mill Park VIC 3082,460.0,"[-37.6747804, 145.0578436]",3,2,2,House,Barry Plant Bundoora,3082,"[316.64580091, 486.05849156, 498.51894069]"
2286,2/2 Corbin Place Mill Park VIC 3082,390.0,"[-37.6525377, 145.0485259]",2,1,1,Apartment / Unit / Flat,hockingstuart Preston,3082,"[623.95615826, 668.71997473, 692.72290513]"
2287,2 Moorhead Drive Mill Park VIC 3082,420.0,"[-37.66362460000001, 145.0646275]",3,2,2,Apartment / Unit / Flat,   Love & Co,3082,"[148.77341119, 659.04914577, 680.0225796]"
2288,10 Seiben Close Mill Park VIC 3082,420.0,"[-37.6685902, 145.0450525]",3,1,3,House,Barry Plant Bundoora,3082,"[874.69366746, 897.17045056, 910.90646639]"
2289,30 Coventry Crescent Mill Park VIC 3082,520.0,"[-37.67661409999999, 145.0692796]",4,2,4,House,Barry Plant Bundoora,3082,"[83.42349552, 147.35021888, 256.16053672]"
2290,8 Streeton Circuit Mill Park VIC 3082,420.0,"[-37.6690787, 145.0695596]",4,2,2,House,Miles Real Estate Ivanhoe,3082,"[151.09564232, 422.79016877, 515.04132073]"
2291,9 Canary Court Mill Park VIC 3082,550.0,"[-37.6707956, 145.0434592]",4,2,1,House,Barry Plant Bundoora,3082,"[672.82267005, 683.51344508, 699.14024689]"
2292,1/13 Essue Court Mill Park VIC 3082,400.0,"[-37.6527749, 145.0469468]",3,1,1,Apartment / Unit / Flat,Ray White Bundoora,3082,"[689.3290029, 693.56621272, 702.95228442]"
2293,14 Romeo Court Mill Park VIC 3082,410.0,"[-37.6570079, 145.0696889]",3,2,2,House,Ray White Mill Park,3082,"[659.43142832, 670.76839799, 701.53323319]"
2294,11 Grenda Drive Mill Park VIC 3082,500.0,"[-37.6680178, 145.0459569]",5,2,2,House,Ray White Mill Park,3082,"[775.28724679, 961.81152511, 976.5606638]"
2295,51 Prince Of Wales Avenue Mill Park VIC 3082,410.0,"[-37.6583954, 145.0450956]",3,1,2,House,Barry Plant Bundoora,3082,"[713.92364679, 1274.97024183, 1299.15543696]"
2296,2 Berala Place Mill Park VIC 3082,400.0,"[-37.6519064, 145.0511248]",3,2,1,House,Ristic Real Estate,3082,"[534.71593558, 544.39419742, 588.80386716]"
2297,1/84 Mill Park Drive Mill Park VIC 3082,450.0,"[-37.6720468, 145.0676212]",3,2,1,House,Ray White Mill Park,3082,"[297.9059805, 383.99017687, 590.52989438]"
2298,35 Gorman Drive Mill Park VIC 3082,390.0,"[-37.6532777, 145.0784663]",2,2,1,House,Longview Real Estate,3082,"[392.90568621, 443.33823855, 472.76549217]"
2299,308/48 Oleander Drive Mill Park VIC 3082,380.0,"[-37.653372, 145.078405]",2,2,1,Apartment / Unit / Flat,Longview Real Estate,3082,"[404.26101753, 454.43241333, 465.64032614]"
2300,214/40 Bush Boulevard Mill Park VIC 3082,330.0,"[-37.6532695, 145.0769907]",1,1,1,Apartment / Unit / Flat,Harcourts Rata & Co,3082,"[489.40949748, 527.37187594, 541.09389497]"
2301,1 Nagle Court Mill Park VIC 3082,500.0,"[-37.66123169999999, 145.0509956]",4,2,1,House,Ray White Mill Park,3082,"[143.03705187, 991.73124025, 1029.21575819]"
2302,246 Betula Avenue Mill Park VIC 3082,430.0,"[-37.673966, 145.0590065]",3,2,2,House,Woodards Preston,3082,"[430.34122201, 530.79706228, 622.05910431]"
2303,14 Tenterden Place Mill Park VIC 3082,375.0,"[-37.6715087, 145.0500051]",3,1,2,House,Ray White Mill Park,3082,"[610.90763597, 629.99589031, 686.51687314]"
2304,15 Appletree Drive Mill Park VIC 3082,380.0,"[-37.6707903, 145.0506941]",3,1,1,House,   Love & Co,3082,"[696.49354162, 711.52195843, 746.5903392]"
2305,12 Silverbirch Rise Mill Park VIC 3082,390.0,"[-37.6577647, 145.0683535]",3,1,1,House,Barry Plant Bundoora,3082,"[635.83597277, 686.24559235, 717.12606677]"
2306,9 Madigan Crescent Mill Park VIC 3082,410.0,"[-37.6701105, 145.0583174]",4,2,2,House,Harcourts Rata & Co,3082,"[836.1803508, 845.40270052, 909.5668448]"
2307,105/48 Oleander Drive Mill Park VIC 3082,375.0,"[-37.653372, 145.078405]",2,2,1,Apartment / Unit / Flat,McGrath Greensborough | Eltham,3082,"[404.26101753, 454.43241333, 465.64032614]"
2308,24 Border Drive Mill Park VIC 3082,360.0,"[-37.6504914, 145.0596095]",2,1,2,House,Stockdale & Leggo South Morang | Mernda,3082,"[258.32055346, 271.46129948, 485.89673005]"
2309,10 Romano Avenue Mill Park VIC 3082,430.0,"[-37.6525781, 145.0520292]",3,2,2,House,Raine & Horne Reservoir,3082,"[605.6941069, 616.76756779, 620.68506331]"
2310,34 Coventry Crescent Mill Park VIC 3082,170.0,"[-37.676947, 145.0693442]",9,2,2,House,Stockdale & Leggo Bundoora,3082,"[66.78776464, 109.9775551, 221.03570619]"
2311,39 Mill Park Drive Mill Park VIC 3082,470.0,"[-37.6772413, 145.0646921]",3,2,2,House,VICPROP Hawthorn,3082,"[239.96176307, 288.47725954, 404.47933967]"
2312,22A McLaughlin Crescent Mill Park VIC 3082,510.0,"[-37.6601436, 145.0656401]",3,2,2,Townhouse,Stockdale & Leggo South Morang | Mernda,3082,"[525.0987745, 641.69622067, 703.78457929]"
2313,36 Coventry Crescent Mill Park VIC 3082,180.0,"[-37.677152, 145.0693012]",1,2,4,House,Stockdale & Leggo Bundoora,3082,"[72.68735841, 88.06441497, 198.01637728]"
2314,67 Weir Loop Bundoora VIC 3083,500.0,"[-37.6948854, 145.0622727]",3,2,2,House,LJ Hooker Croydon,3083,"[245.95337732, 248.52889612, 250.07915321]"
2315,502/21 Plenty Road Bundoora VIC 3083,330.0,"[-37.6981499, 145.0583604]",1,1,1,Apartment / Unit / Flat,Besser & Co. Estate Agents,3083,"[39.15695203, 47.28121455, 59.44976549]"
2316,101B/1091 Plenty Road Bundoora VIC 3083,395.0,"[-37.709154, 145.0498543]",2,2,1,Apartment / Unit / Flat,Love & Co Ivanhoe,3083,"[98.42946444, 144.35408304, 173.70785221]"
2317,15 Balmoral Avenue Bundoora VIC 3083,549.0,"[-37.7074143, 145.0654244]",3,1,3,House,Thomas Quixley Fairfield Pty Ltd,3083,"[239.22422815, 240.68289257, 750.6407788]"
2318,13 Boadle Road Bundoora VIC 3083,520.0,"[-37.7045306, 145.0526752]",3,2,2,House,Ray White Preston,3083,"[190.66533323, 282.90246863, 290.98556198]"
2319,28 Dunne Street Kingsbury VIC 3083,370.0,"[-37.7150511, 145.0403156]",3,2,1,House,Ray White Mernda,3083,"[33.60775105, 42.58733788, 195.53159889]"
2320,3/1033 Plenty Road Kingsbury VIC 3083,320.0,"[-37.71526, 145.043434]",2,1,1,Apartment / Unit / Flat,Love & Co Reservoir,3083,"[71.35760807, 86.03656179, 148.46217807]"
2321,7/83 Janefield Drive Bundoora VIC 3083,300.0,"[-37.6806036, 145.0766934]",1,1,1,Apartment / Unit / Flat,Barry Plant Bundoora,3083,"[209.39374413, 404.36520727, 603.25198364]"
2322,110 Holt Parade Bundoora VIC 3083,400.0,"[-37.6978565, 145.0399711]",3,1,1,House,Bricks and Mortar RE,3083,"[363.26929288, 404.02593524, 429.70166754]"
2323,503/21 Plenty Road Bundoora VIC 3083,420.0,"[-37.6981499, 145.0583604]",2,2,1,Apartment / Unit / Flat,Areal Property - Box Hill,3083,"[39.15695203, 47.28121455, 59.44976549]"
2324,LG01/28 Galileo Gateway Bundoora VIC 3083,375.0,"[-37.7111144, 145.0494867]",2,2,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3083,"[79.00231859, 84.22044661, 96.85496311]"
2325,19/70 Grange Boulevard Bundoora VIC 3083,370.0,"[-37.708762, 145.051416]",2,1,1,Townhouse,Love & Co Reservoir,3083,"[86.44792292, 86.72060323, 155.32611952]"
2326,10 Ashdown Court Bundoora VIC 3083,480.0,"[-37.69926969999999, 145.0667597]",3,2,2,House,Barry Plant Bundoora,3083,"[162.19896997, 232.7183305, 257.05530328]"
2327,7/5 Zenith Rise Bundoora VIC 3083,380.0,"[-37.7121617, 145.0486915]",2,2,1,Apartment / Unit / Flat,Love & Co Reservoir,3083,"[128.1620685, 165.2988563, 186.76919277]"
2328,1/27 Princeton Terrace Bundoora VIC 3083,320.0,"[-37.680984, 145.0735493]",1,1,1,Apartment / Unit / Flat,Barry Plant Bundoora,3083,"[71.21946119, 205.67238531, 345.33078279]"
2329,28 Cameron Parade Bundoora VIC 3083,400.0,"[-37.6985638, 145.0645629]",5,2,3,House,Barry Plant Bundoora,3083,"[223.54882663, 233.81094366, 307.30797721]"
2330,2 Lomandra Avenue Bundoora VIC 3083,500.0,"[-37.682165, 145.0530629]",4,2,2,House,Barry Plant Bundoora,3083,"[203.90456356, 234.16394546, 395.62131492]"
2331,8 Oxford Drive Bundoora VIC 3083,440.0,"[-37.6993482, 145.0657474]",3,1,1,House,   Love & Co,3083,"[168.69905623, 176.38109504, 224.6180535]"
2332,55 Copernicus Crescent Bundoora VIC 3083,425.0,"[-37.7133204, 145.0485803]",2,2,1,Townhouse,Barry Plant Bundoora,3083,"[72.14026544, 175.84865279, 202.46811169]"
2333,43 Zara Close Bundoora VIC 3083,460.0,"[-37.681979, 145.0783908]",4,2,2,House,Barry Plant Bundoora,3083,"[378.18088207, 603.91645034, 746.54315774]"
2334,7 Zara Close Bundoora VIC 3083,500.0,"[-37.6809711, 145.0773569]",3,2,2,House,Barry Plant Bundoora,3083,"[266.30196424, 473.5704163, 668.47549211]"
2335,14 Buttercup Grove Bundoora VIC 3083,600.0,"[-37.684197, 145.0543119]",3,2,4,House,Barry Plant Bundoora,3083,"[313.57321746, 326.00111651, 435.77388883]"
2336,71 Cameron Parade Bundoora VIC 3083,400.0,"[-37.6980717, 145.0698181]",3,1,1,House,Barry Plant Bundoora,3083,"[329.09162756, 347.13923139, 401.48921]"
2337,21 Neilsen Crescent Bundoora VIC 3083,340.0,"[-37.6972361, 145.0415429]",3,1,2,Duplex,Ray White Bundoora,3083,"[277.65184668, 281.01686794, 310.29533831]"
2338,20 Stellar Place Bundoora VIC 3083,520.0,"[-37.71416290000001, 145.0485215]",4,2,2,House,Jellis Craig Ivanhoe,3083,"[68.46608576, 153.57700541, 250.61659678]"
2339,Room 5/5 Merryn Close Bundoora VIC 3083,210.0,"[-37.6824745, 145.0584601]",1,3,0,Apartment / Unit / Flat,Crown Property Group Vic,3083,"[99.28666493, 103.23914341, 288.53332709]"
2340,419C/3 Snake Gully Drive Bundoora VIC 3083,390.0,"[-37.708785, 145.0498614]",2,1,1,Apartment / Unit / Flat,Ray White Bundoora,3083,"[139.3825192, 183.46263634, 184.24227166]"
2341,16 Summerhill Rise Bundoora VIC 3083,550.0,"[-37.7088831, 145.0524599]",3,2,3,House,Nelson Alexander Ivanhoe,3083,"[92.13146813, 102.88773617, 106.13391157]"
2342,113A/1091 Plenty Road Bundoora VIC 3083,400.0,"[-37.709154, 145.0498543]",2,2,1,House,Ray White Bundoora,3083,"[98.42946444, 144.35408304, 173.70785221]"
2343,102/9 Collared Close Bundoora VIC 3083,390.0,"[-37.6954778, 145.0509525]",2,1,1,Apartment / Unit / Flat,Eview Group - Australia,3083,"[176.2009769, 177.71655862, 312.25920056]"
2344,32 Thornton Avenue Bundoora VIC 3083,390.0,"[-37.7061898, 145.0671043]",3,1,2,House,Ray White Bundoora,3083,"[268.56352841, 282.06512158, 585.79563703]"
2345,4/3 Decathlon Street Bundoora VIC 3083,465.0,"[-37.7019004, 145.0620431]",2,2,1,House,Ray White Bundoora,3083,"[200.68972433, 213.19295143, 278.2759397]"
2346,1 Mersey Street Bundoora VIC 3083,390.0,"[-37.6972135, 145.0444496]",3,1,4,House,Ray White Bundoora,3083,"[192.13854084, 202.94786752, 228.51696052]"
2347,28 Waxflower Crescent Bundoora VIC 3083,400.0,"[-37.6783273, 145.0563631]",2,2,2,Townhouse,Ray White Bundoora,3083,"[116.07202527, 188.43292341, 218.41480567]"
2348,9 Kipling Court Bundoora VIC 3083,510.0,"[-37.6950174, 145.065489]",3,1,4,House,hockingstuart Epping,3083,"[410.826708, 420.28239458, 444.92568549]"
2349,12/24 McLeans Road Bundoora VIC 3083,430.0,"[-37.692851, 145.0578796]",3,1,1,Townhouse,Ray White Reservoir,3083,"[313.67700982, 355.31155596, 359.35619779]"
2350,G11/3 Snake Gully Drive Bundoora VIC 3083,420.0,"[-37.708785, 145.0498614]",2,2,1,Apartment / Unit / Flat,Ray White Bundoora,3083,"[139.3825192, 183.46263634, 184.24227166]"
2351,2/14 Clunes Street Kingsbury VIC 3083,370.0,"[-37.7165863, 145.0407462]",3,1,2,House,Ray White Bundoora,3083,"[117.80240585, 135.62104706, 169.09137967]"
2352,105/1053 Plenty Road Kingsbury VIC 3083,300.0,"[-37.713569, 145.044726]",2,1,0,Apartment / Unit / Flat,Jellis Craig Ivanhoe,3083,"[46.48259875, 98.18600202, 172.30895128]"
2353,28/80 Enterprise Drive Bundoora VIC 3083,400.0,"[-37.6847028, 145.0759498]",2,1,2,Townhouse,   Love & Co,3083,"[449.45839449, 600.59007783, 625.53304739]"
2354,22 Douglas Street Rosanna VIC 3084,420.0,"[-37.7427176, 145.0699042]",2,1,1,House, Jellis Craig & Company Pty Ltd,3084,"[314.20298503, 328.63064001, 331.02192062]"
2355,14/74 Darebin Street Heidelberg VIC 3084,370.0,"[-37.7533261, 145.0618708]",2,1,1,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,3084,"[251.66604004, 282.55891829, 310.69957218]"
2356,401/87 Mount Street Heidelberg VIC 3084,660.0,"[-37.7579321, 145.0614401]",3,2,2,Apartment / Unit / Flat,Jellis Craig Ivanhoe,3084,"[50.16774211, 74.62351067, 85.43805402]"
2357,4/19 Station Road Rosanna VIC 3084,550.0,"[-37.7453205, 145.0700335]",3,2,2,House,Miles Real Estate Ivanhoe,3084,"[398.55569078, 414.62194079, 440.06664102]"
2358,8/68 Banksia Street Heidelberg VIC 3084,395.0,"[-37.7582889, 145.0609536]",2,1,0,Apartment / Unit / Flat,Seascape RE,3084,"[82.93506854, 119.16864207, 120.84852431]"
2359,394 Lower Plenty Road Viewbank VIC 3084,440.0,"[-37.7316937, 145.0859734]",2,1,2,House,Jellis Craig Ivanhoe,3084,"[1591.96074643, 1605.99809516, 1608.23879894]"
2360,2/12-14 Silverdale Road Eaglemont VIC 3084,745.0,"[-37.7673941, 145.0528306]",4,3,2,House,Miles Real Estate Ivanhoe,3084,"[405.47287764, 432.20334702, 433.45753534]"
2361,586 Upper Heidelberg Road Heidelberg VIC 3084,595.0,"[-37.7483221, 145.0578798]",4,2,0,House,Property Listings,3084,"[592.24147452, 602.92000365, 631.04268599]"
2362,303/12 Powlett Street Heidelberg VIC 3084,450.0,"[-37.754295, 145.059054]",2,1,1,Apartment / Unit / Flat,McGrath Ivanhoe,3084,"[114.7400338, 184.19578849, 235.63084598]"
2363,1/95 Finlayson Street Rosanna VIC 3084,495.0,"[-37.7329094, 145.0736506]",3,2,2,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3084,"[816.44201727, 827.17015287, 847.79971696]"
2364,11 Eugene Street Viewbank VIC 3084,650.0,"[-37.73049290000001, 145.0989861]",3,2,2,House,Miles Real Estate Ivanhoe,3084,"[1190.41995235, 1387.63692562, 1396.96458779]"
2365,6 Beetham Parade Rosanna VIC 3084,520.0,"[-37.746839, 145.0664151]",3,2,2,House,Miles Real Estate Ivanhoe,3084,"[404.68174945, 408.29572259, 448.64205675]"
2366,5/74 Graham Road Viewbank VIC 3084,420.0,"[-37.7402509, 145.0817146]",2,1,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3084,"[1389.6788182, 1398.47225196, 1406.00801208]"
2367,1/46 Station Road Rosanna VIC 3084,570.0,"[-37.7445266, 145.0677935]",3,2,1,House,Miles Real Estate Ivanhoe,3084,"[192.92775802, 206.89982243, 238.69580789]"
2368,4/88 Grandview Grove Rosanna VIC 3084,620.0,"[-37.7380628, 145.0626246]",3,2,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3084,"[612.04138171, 647.61557273, 659.01865944]"
2369,4/3 Vine Street Heidelberg VIC 3084,360.0,"[-37.757904, 145.0719504]",2,1,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3084,"[269.71294421, 270.82879424, 480.25258417]"
2370,2/114 Maltravers Road Eaglemont VIC 3084,600.0,"[-37.7679856, 145.0520508]",3,2,1,House,Miles Real Estate Ivanhoe,3084,"[430.07709326, 432.21044354, 440.33656458]"
2371,2/8 Stokes Street Rosanna VIC 3084,460.0,"[-37.7355212, 145.0715564]",3,1,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3084,"[936.88051998, 965.64202574, 971.29170999]"
2372,2/62 Darebin Street Heidelberg VIC 3084,450.0,"[-37.7535156, 145.0632467]",3,1,2,Townhouse,Miles Real Estate Ivanhoe,3084,"[266.68312737, 286.28272886, 320.94780469]"
2373,85 Mountain View Parade Rosanna VIC 3084,690.0,"[-37.739263, 145.0605248]",4,2,2,House,Miles Real Estate Ivanhoe,3084,"[630.37930799, 634.34569394, 642.07625765]"
2374,25 Manton Street Heidelberg VIC 3084,400.0,"[-37.74962379999999, 145.0669751]",3,1,2,House,Miles Real Estate Ivanhoe,3084,"[667.74735264, 677.90439869, 715.6494047]"
2375,5/52 Banksia Street Heidelberg VIC 3084,360.0,"[-37.758546, 145.063442]",2,1,1,Townhouse,Miles Real Estate Ivanhoe,3084,"[227.19794843, 230.29119544, 231.79645463]"
2376,3 Sussex Place Heidelberg VIC 3084,450.0,"[-37.7436257, 145.0835176]",3,1,3,House,Miles Real Estate Ivanhoe,3084,"[1510.4166127, 1528.04953138, 1531.14564199]"
2377,402/82 Hawdon Street Heidelberg VIC 3084,375.0,"[-37.7566375, 145.0649075]",2,1,1,Apartment / Unit / Flat,Nelson Alexander Ivanhoe,3084,"[58.32247113, 164.06496702, 170.1130687]"
2378,22 Douglas Street Rosanna VIC 3084,420.0,"[-37.7427176, 145.0699042]",2,1,1,House,Jellis Craig Balwyn,3084,"[314.20298503, 328.63064001, 331.02192062]"
2379,4/140 Cape Street Heidelberg VIC 3084,385.0,"[-37.75360800000001, 145.068521]",2,1,1,Apartment / Unit / Flat,Haughton Stotts Real Estate,3084,"[248.93416638, 266.53889979, 327.17043549]"
2380,504/8 Martin Street Heidelberg VIC 3084,343.0,"[-37.7546441, 145.0601479]",2,1,1,House,Eview Group - Australia,3084,"[99.92879976, 137.01805424, 241.10580843]"
2381,192 Waiora Road Rosanna VIC 3084,600.0,"[-37.7332103, 145.0606001]",4,2,2,House,Barry Plant Monash,3084,"[824.61866959, 826.64931486, 932.76680798]"
2382,219 Lower Plenty Road Rosanna VIC 3084,450.0,"[-37.7388985, 145.0713689]",3,1,2,House,Jellis Craig Ivanhoe,3084,"[630.17540139, 647.97276364, 657.71382926]"
2383,19/86 Graham Road Viewbank VIC 3084,410.0,"[-37.7400208, 145.0812442]",2,1,1,Apartment / Unit / Flat,Buckingham & Company,3084,"[1355.76849638, 1363.39598324, 1371.91215955]"
2384,9 Pilgrim Court Rosanna VIC 3084,530.0,"[-37.7397007, 145.0799633]",2,1,2,House,Miles Real Estate Ivanhoe,3084,"[1257.57055255, 1262.89354451, 1273.31640448]"
2385,27 Kathleen Street Rosanna VIC 3084,700.0,"[-37.7459457, 145.072532]",4,2,2,House,Miles Real Estate Ivanhoe,3084,"[621.64416253, 638.48939609, 659.96645928]"
2386,12 Meyrick Crescent Viewbank VIC 3084,570.0,"[-37.7378961, 145.0857149]",4,1,1,House,Jellis Craig Ivanhoe,3084,"[1801.96384604, 1806.12662716, 1817.54033648]"
2387,60 Banyule Road Rosanna VIC 3084,560.0,"[-37.742368, 145.0788216]",3,2,1,House,Miles Real Estate Ivanhoe,3084,"[1099.58618651, 1115.55839742, 1116.81287202]"
2388,2/38 Lower Plenty Road Rosanna VIC 3084,390.0,"[-37.7452255, 145.0610305]",2,1,1,Apartment / Unit / Flat,Nelson Alexander Ivanhoe,3084,"[509.09183332, 523.46009943, 527.39776731]"
2389,1/196 Rosanna Road Rosanna VIC 3084,380.0,"[-37.7421571, 145.0732212]",3,1,1,House,Miles Real Estate Ivanhoe,3084,"[612.98636584, 624.9627936, 629.65774243]"
2390,18 Rill Street Heidelberg VIC 3084,550.0,"[-37.75023669999999, 145.0624092]",3,1,2,House,LITTLE Real Estate Victoria,3084,"[597.18100744, 620.94930074, 622.36230359]"
2391,34 Warren Road Viewbank VIC 3084,595.0,"[-37.7406073, 145.0869213]",3,2,2,House,McGrath Box Hill,3084,"[1832.24195883, 1844.52696618, 1849.08269513]"
2392,35 Glenard Drive Eaglemont VIC 3084,670.0,"[-37.7630649, 145.069215]",3,1,2,House,Miles Real Estate Ivanhoe,3084,"[131.2720301, 151.27542882, 286.730887]"
2393,1/23 Station Road Rosanna VIC 3084,400.0,"[-37.745151, 145.069491]",2,1,1,Apartment / Unit / Flat,Darren Jones Real Estate,3084,"[349.20619034, 364.98788599, 391.57933048]"
2394,31 Torbay Street Macleod VIC 3085,470.0,"[-37.7228655, 145.0728335]",3,1,2,House,Ray White MacLeod,3085,"[493.42499043, 516.2689947, 520.90606611]"
2395,2/14 Argyle Street Macleod VIC 3085,440.0,"[-37.729495, 145.072468]",3,1,1,Apartment / Unit / Flat,Ray White MacLeod,3085,"[444.44903965, 456.84721674, 472.74400243]"
2396,21A Corandirk Place Yallambie VIC 3085,350.0,"[-37.726599, 145.101532]",2,2,0,Townhouse,Miles Real Estate Ivanhoe,3085,"[946.6399361, 1093.30692247, 1106.55876843]"
2397,70 Springthorpe Boulevard Macleod VIC 3085,155.0,"[-37.7207717, 145.0624738]",1,1,0,Apartment / Unit / Flat,First National Avant - Box Hill,3085,"[61.82896388, 482.90540926, 638.13437793]"
2398,2/32 Jacka Street Macleod VIC 3085,440.0,"[-37.726409, 145.064986]",2,1,2,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3085,"[353.90455965, 363.83627917, 367.13242295]"
2399,2/44 Munro Street Macleod VIC 3085,380.0,"[-37.727083, 145.076391]",2,1,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3085,"[641.88314089, 650.29313559, 655.48716219]"
2400,11/32-34 Fairlie Avenue Macleod VIC 3085,475.0,"[-37.722774, 145.078926]",3,2,2,Townhouse,Seascape RE,3085,"[944.86352452, 955.03463623, 964.84869348]"
2401,88C/116-130 Main Drive Macleod VIC 3085,205.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2402,50B/116-130 Main Drive Macleod VIC 3085,195.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2403,1A/116-130 Main Drive Macleod VIC 3085,190.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2404,2/24 May Street Macleod VIC 3085,360.0,"[-37.725807, 145.076433]",2,1,1,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,3085,"[646.43257276, 647.52443193, 658.96412212]"
2405,129D/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2406,1/56 Ferguson Street Macleod VIC 3085,450.0,"[-37.7281106, 145.074449]",2,1,2,House,Nelson Alexander Ivanhoe,3085,"[501.01478943, 515.05265001, 517.79943816]"
2407,127D/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2408,81 Harborne Street Macleod VIC 3085,600.0,"[-37.7181934, 145.0905621]",4,2,2,House,Jellis Craig Ivanhoe,3085,"[694.84798632, 710.40575885, 984.94977106]"
2409,1/296 Waiora Road Macleod VIC 3085,750.0,"[-37.7255012, 145.0615908]",4,2,2,Townhouse,Jellis Craig Ivanhoe,3085,"[498.49957968, 606.16756609, 661.38774672]"
2410,15 Sydney Street Macleod VIC 3085,430.0,"[-37.7232201, 145.0795109]",3,1,3,House,Ray White MacLeod,3085,"[974.56938814, 982.53244104, 993.00254279]"
2411,90C/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2412,74B/116-130 Main Drive Macleod VIC 3085,200.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2413,7A/116-130 Main Drive Macleod VIC 3085,190.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2414,95C/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2415,91C/116-130 Main Drive Macleod VIC 3085,230.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2416,66B/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2417,32A/116-130 Main Drive Macleod VIC 3085,225.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2418,31A/116-130 Main Drive Macleod VIC 3085,225.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2419,13A/116-130 Main Drive Macleod VIC 3085,215.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2420,3A/116-130 Main Drive Macleod VIC 3085,215.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2421,11A/116-130 Main Drive Macleod VIC 3085,215.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2422,37A/116-130 Main Drive Macleod VIC 3085,220.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2423,39A/116-130 Main Drive Macleod VIC 3085,210.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2424,130D/116-130 Main Drive Macleod VIC 3085,250.0,"[-37.7144842, 145.0607509]",1,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
2425,49B/116-130 Main Drive Macleod VIC 3085,230.0,"[-37.7144842, 145.0607509]",0,1,0,Studio,Student Housing Australia,3085,"[139.99720221, 575.31680399, 731.14316547]"
