,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Closest_Park,Closest_Post_Office,Closest_Railway_Station,CBD_Distance
864,1/82 Ashley Street West Footscray VIC 3012,395.0,"[-37.7911279, 144.8637911]",2,2,1,Townhouse,Jellis Craig - Brunswick,3012,"{'distance': 408.4, 'duration': 53.3}","{'distance': 1085.0, 'duration': 150.5}","{'distance': 1026.0, 'duration': 143.2}","{'distance': 10615.3, 'duration': 1130.3}"
865,313/110 Roberts Street West Footscray VIC 3012,550.0,"[-37.8102443, 144.8694046]",2,1,1,Apartment / Unit / Flat,Hedley Perrett Real Estate,3012,"{'distance': 117.7, 'duration': 23.7}","{'distance': 196.6, 'duration': 50.5}","{'distance': 1983.4, 'duration': 180.2}","{'distance': 9264.6, 'duration': 987.2}"
866,1/101 Ballarat Road Maidstone VIC 3012,315.0,"[-37.786425, 144.876998]",2,1,1,Apartment / Unit / Flat,First National Real Estate D & K ,3012,"{'distance': 596.0, 'duration': 74.4}","{'distance': 1782.1, 'duration': 170.7}","{'distance': 3797.2, 'duration': 437.4}","{'distance': 9535.2, 'duration': 1043.6}"
867,5/15 Omar Street Maidstone VIC 3012,240.0,"[-37.7804863, 144.8703156]",1,1,1,Apartment / Unit / Flat,Create Vic Real Estate,3012,"{'distance': 328.3, 'duration': 50.2}","{'distance': 2312.4, 'duration': 253.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 11103.7, 'duration': 1152.8}"
868,21A Inkerman Street Maidstone VIC 3012,650.0,"[-37.7866151, 144.8814158]",4,2,1,Townhouse,Create Vic Real Estate,3012,"{'distance': 720.1, 'duration': 72.5}","{'distance': 1594.5, 'duration': 160.9}","{'distance': 3609.6, 'duration': 427.6}","{'distance': 9347.6, 'duration': 1033.8}"
869,1/5 Brack Avenue Brooklyn VIC 3012,340.0,"[-37.822675, 144.840568]",2,1,1,Apartment / Unit / Flat,P Di Natale Real Estate,3012,"{'distance': 200.8, 'duration': 28.9}","{'distance': 2476.5, 'duration': 331.8}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12835.3, 'duration': 1065.6}"
870,1/15 Cambridge Street Maidstone VIC 3012,415.0,"[-37.7824737, 144.8719401]",3,1,2,House,Woodards Ascot Vale,3012,"{'distance': 8.9, 'duration': 1.3}","{'distance': 3064.8, 'duration': 271.8}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10984.5, 'duration': 1132.7}"
871,1A Alma Street West Footscray VIC 3012,490.0,"[-37.7945887, 144.8724311]",2,2,1,Townhouse,Sweeney Estate Agents St Albans ,3012,"{'distance': 416.0, 'duration': 76.4}","{'distance': 993.9, 'duration': 146.2}","{'distance': 1599.4, 'duration': 220.0}","{'distance': 9842.2, 'duration': 1095.8}"
872,131 Mitchell Street Maidstone VIC 3012,350.0,"[-37.7824193, 144.8756361]",3,1,1,House,Sweeney Estate Agents St Albans ,3012,"{'distance': 366.2, 'duration': 44.1}","{'distance': 2193.7, 'duration': 245.8}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10538.2, 'duration': 1095.1}"
873,1/652 Barkly Street West Footscray VIC 3012,370.0,"[-37.7965695, 144.8715533]",2,1,1,Apartment / Unit / Flat,Bond Estate Agents,3012,"{'distance': 343.8, 'duration': 57.3}","{'distance': 770.6, 'duration': 84.5}","{'distance': 1283.7, 'duration': 152.8}","{'distance': 9447.1, 'duration': 1050.2}"
874,306 Essex Street West Footscray VIC 3012,400.0,"[-37.791847, 144.8636892]",3,1,1,House,Trimson Partners,3012,"{'distance': 327.9, 'duration': 47.5}","{'distance': 1004.5, 'duration': 144.8}","{'distance': 945.5, 'duration': 137.4}","{'distance': 10534.8, 'duration': 1124.5}"
875,14/5 Lewis Street Kingsville VIC 3012,300.0,"[-37.8096672, 144.8743468]",2,1,1,Apartment / Unit / Flat,Trimson Partners,3012,"{'distance': 927.0, 'duration': 121.3}","{'distance': 784.5, 'duration': 104.9}","{'distance': 1538.1, 'duration': 229.5}","{'distance': 8933.4, 'duration': 995.8}"
876,2/120 Suffolk Street Maidstone VIC 3012,380.0,"[-37.7894545, 144.8667073]",2,1,1,Townhouse,Burnham Real Estate Footscray,3012,"{'distance': 396.7, 'duration': 95.2}","{'distance': 1511.3, 'duration': 222.1}","{'distance': 1452.4, 'duration': 214.7}","{'distance': 10555.5, 'duration': 1172.4}"
877,6 Warleigh Road West Footscray VIC 3012,620.0,"[-37.7984608, 144.8796265]",3,3,1,Townhouse,Buxton Inner West,3012,"{'distance': 234.7, 'duration': 41.0}","{'distance': 113.3, 'duration': 29.3}","{'distance': 2389.8, 'duration': 332.6}","{'distance': 8789.7, 'duration': 995.0}"
878,14A Howard Street Maidstone VIC 3012,675.0,"[-37.7891972, 144.8818251]",3,2,1,Townhouse,RentBetter,3012,"{'distance': 559.1, 'duration': 134.2}","{'distance': 1707.0, 'duration': 269.4}","{'distance': 3722.1, 'duration': 536.1}","{'distance': 9820.4, 'duration': 1146.1}"
879,3/12 Holland Court Maidstone VIC 3012,420.0,"[-37.78613259999999, 144.8683302]",2,1,1,Townhouse,Burnham Real Estate Footscray,3012,"{'distance': 135.6, 'duration': 32.6}","{'distance': 1986.8, 'duration': 250.8}","{'distance': 1927.8, 'duration': 243.4}","{'distance': 10720.6, 'duration': 1184.8}"
880,7/2 Stenhouse Avenue Brooklyn VIC 3012,230.0,"[-37.8189725, 144.8486935]",1,1,1,Apartment / Unit / Flat,Barlow McEwan Tribe Altona,3012,"{'distance': 787.5, 'duration': 84.2}","{'distance': 2278.3, 'duration': 279.1}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12611.5, 'duration': 1001.3}"
881,22/5 Lewis Street Kingsville VIC 3012,310.0,"[-37.8096672, 144.8743468]",2,1,1,Apartment / Unit / Flat,Jas Stephens Real Estate Yarraville,3012,"{'distance': 927.0, 'duration': 121.3}","{'distance': 784.5, 'duration': 104.9}","{'distance': 1538.1, 'duration': 229.5}","{'distance': 8933.4, 'duration': 995.8}"
882,31a Alma Street West Footscray VIC 3012,720.0,"[-37.7944669, 144.870307]",4,2,2,House,hockingstuart Yarraville,3012,"{'distance': 475.1, 'duration': 84.9}","{'distance': 1471.7, 'duration': 200.5}","{'distance': 1412.7, 'duration': 193.1}","{'distance': 10028.8, 'duration': 1122.7}"
883,24/44 Ecualyptus Drive Maidstone VIC 3012,400.0,"[-37.780091, 144.8719588]",2,1,1,Apartment / Unit / Flat,Barry Plant Glenroy,3012,"{'distance': 161.9, 'duration': 38.9}","{'distance': 2017.2, 'duration': 258.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 11506.0, 'duration': 1192.8}"
884,39 Dongola Road West Footscray VIC 3012,500.0,"[-37.7942446, 144.8801489]",3,1,2,House,Edward Thomas,3012,"{'distance': 207.3, 'duration': 36.6}","{'distance': 684.6, 'duration': 89.4}","{'distance': 2699.7, 'duration': 356.1}","{'distance': 9099.6, 'duration': 1018.5}"
885,1/10 Cypress Avenue Brooklyn VIC 3012,440.0,"[-37.8217501, 144.8440106]",2,1,1,House,Ray White Altona,3012,"{'distance': 5.5, 'duration': 0.8}","{'distance': 2218.2, 'duration': 299.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12551.4, 'duration': 1021.8}"
886,72 Empress Avenue Kingsville VIC 3012,700.0,"[-37.8081661, 144.8816102]",3,1,2,House,Village Real Estate Seddon,3012,"{'distance': 37.8, 'duration': 6.8}","{'distance': 1400.6, 'duration': 167.6}","{'distance': 1110.9, 'duration': 210.5}","{'distance': 8447.7, 'duration': 958.8}"
887,46 Empress Avenue Kingsville VIC 3012,550.0,"[-37.8068679, 144.8818681]",2,1,0,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 537.4, 'duration': 81.9}","{'distance': 1287.8, 'duration': 147.4}","{'distance': 927.5, 'duration': 187.0}","{'distance': 8334.8, 'duration': 938.5}"
888,36 Emu Rd Maidstone VIC 3012,400.0,"[-37.77956080000001, 144.8813308]",2,1,2,House,Brad Teal Woodards Essendon,3012,"{'distance': 917.3, 'duration': 97.2}","{'distance': 1380.3, 'duration': 180.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10376.3, 'duration': 1092.3}"
889,9B Studley Street Maidstone VIC 3012,475.0,"[-37.790197, 144.8784941]",2,1,1,Townhouse,Trimson Partners,3012,"{'distance': 205.4, 'duration': 49.3}","{'distance': 1349.3, 'duration': 203.5}","{'distance': 3364.4, 'duration': 470.1}","{'distance': 9542.2, 'duration': 1110.1}"
890,3/10 Cypress Avenue Brooklyn VIC 3012,420.0,"[-37.8217501, 144.8440106]",2,1,1,House,Ray White Altona,3012,"{'distance': 5.5, 'duration': 0.8}","{'distance': 2218.2, 'duration': 299.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12551.4, 'duration': 1021.8}"
891,7/62-64 Rupert Street West Footscray VIC 3012,350.0,"[-37.79871, 144.873066]",2,1,1,Apartment / Unit / Flat,Biggin & Scott Sunshine,3012,"{'distance': 294.4, 'duration': 65.6}","{'distance': 822.0, 'duration': 141.1}","{'distance': 1674.5, 'duration': 256.6}","{'distance': 9498.4, 'duration': 1106.8}"
892,5/57 Kingsville Street Kingsville VIC 3012,250.0,"[-37.81003, 144.8787305]",1,1,1,Apartment / Unit / Flat,Burnham Real Estate Footscray,3012,"{'distance': 339.4, 'duration': 49.8}","{'distance': 911.6, 'duration': 95.5}","{'distance': 1636.1, 'duration': 235.0}","{'distance': 8950.9, 'duration': 979.7}"
893,13 Church Street West Footscray VIC 3012,500.0,"[-37.7911718, 144.8791603]",3,1,0,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 59.6, 'duration': 14.3}","{'distance': 1171.5, 'duration': 169.6}","{'distance': 3186.6, 'duration': 436.3}","{'distance': 9586.5, 'duration': 1098.6}"
894,2/30 Beaumont Parade West Footscray VIC 3012,275.0,"[-37.80734, 144.867015]",1,1,1,Apartment / Unit / Flat,hockingstuart Yarraville,3012,"{'distance': 932.3, 'duration': 127.7}","{'distance': 782.6, 'duration': 119.7}","{'distance': 2035.2, 'duration': 206.6}","{'distance': 9850.6, 'duration': 1056.4}"
895,7 Emu Road Maidstone VIC 3012,420.0,"[-37.78023779999999, 144.8833724]",3,1,4,House,G.L. Lee,3012,"{'distance': 730.7, 'duration': 82.3}","{'distance': 1193.7, 'duration': 165.6}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10189.7, 'duration': 1077.4}"
896,2/18 Millers Road Brooklyn VIC 3012,475.0,"[-37.8188348, 144.8492521]",3,1,2,House,"Sweeney Altona, Altona Meadows & Altona North",3012,"{'distance': 737.5, 'duration': 77.0}","{'distance': 2228.3, 'duration': 271.9}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12561.5, 'duration': 994.1}"
897,78 Chirnside Street Kingsville VIC 3012,725.0,"[-37.8081159, 144.8824268]",3,2,0,House,:Different - Victoria,3012,"{'distance': 199.7, 'duration': 33.3}","{'distance': 1311.2, 'duration': 154.2}","{'distance': 1021.5, 'duration': 197.0}","{'distance': 8358.3, 'duration': 945.3}"
898,29 Church Street West Footscray VIC 3012,480.0,"[-37.7919812, 144.8786446]",3,1,1,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 250.1, 'duration': 60.0}","{'distance': 1070.6, 'duration': 145.4}","{'distance': 3085.7, 'duration': 412.1}","{'distance': 9485.6, 'duration': 1074.4}"
899,6 Wallace Street Maidstone VIC 3012,450.0,"[-37.787778, 144.8783007]",2,1,2,House,Burnham Real Estate Footscray,3012,"{'distance': 476.8, 'duration': 105.8}","{'distance': 1769.6, 'duration': 193.1}","{'distance': 3784.7, 'duration': 459.8}","{'distance': 9522.7, 'duration': 1065.9}"
900,67 Ballarat Road Maidstone VIC 3012,390.0,"[-37.7871969, 144.8790851]",2,1,2,House,Douglas Kay Estate Agents,3012,"{'distance': 423.3, 'duration': 65.2}","{'distance': 1598.8, 'duration': 160.8}","{'distance': 3613.9, 'duration': 427.4}","{'distance': 9351.9, 'duration': 1033.6}"
901,1/1 Edgar Street Kingsville VIC 3012,550.0,"[-37.8076647, 144.8771403]",2,1,1,Townhouse,Buxton Inner West,3012,"{'distance': 803.7, 'duration': 99.4}","{'distance': 798.5, 'duration': 73.2}","{'distance': 1199.9, 'duration': 169.7}","{'distance': 8595.3, 'duration': 936.0}"
902,2/60 Madden Street Maidstone VIC 3012,650.0,"[-37.7891741, 144.8772048]",3,2,2,Townhouse,:Different - Victoria,3012,"{'distance': 493.8, 'duration': 118.5}","{'distance': 1537.4, 'duration': 228.7}","{'distance': 3552.5, 'duration': 495.4}","{'distance': 9614.9, 'duration': 1127.5}"
903,409 Geelong Road Kingsville VIC 3012,400.0,"[-37.8106118, 144.8715533]",3,1,3,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 307.7, 'duration': 48.6}","{'distance': 165.2, 'duration': 32.2}","{'distance': 2244.1, 'duration': 219.2}","{'distance': 9454.6, 'duration': 1012.1}"
904,8/697 Barkly Street West Footscray VIC 3012,275.0,"[-37.7965575, 144.8677716]",1,1,1,Apartment / Unit / Flat,Burnham Real Estate Footscray,3012,"{'distance': 381.1, 'duration': 70.9}","{'distance': 1029.2, 'duration': 131.3}","{'distance': 970.2, 'duration': 124.0}","{'distance': 9810.6, 'duration': 1091.0}"
905,2/5A Chatfield Street Kingsville VIC 3012,520.0,"[-37.81021399999999, 144.877805]",3,1,2,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 414.3, 'duration': 60.6}","{'distance': 932.0, 'duration': 98.5}","{'distance': 1557.2, 'duration': 223.6}","{'distance': 9027.3, 'duration': 983.3}"
906,7/150 Rupert Street West Footscray VIC 3012,320.0,"[-37.7977223, 144.8658378]",2,1,1,Apartment / Unit / Flat,Trimson Partners,3012,"{'distance': 221.4, 'duration': 53.1}","{'distance': 650.9, 'duration': 112.0}","{'distance': 591.9, 'duration': 104.7}","{'distance': 10111.9, 'duration': 1151.2}"
907,144 Essex Street West Footscray VIC 3012,420.0,"[-37.7931891, 144.875765]",3,1,2,House,Compton Green,3012,"{'distance': 538.3, 'duration': 106.5}","{'distance': 1008.2, 'duration': 106.7}","{'distance': 3023.3, 'duration': 373.4}","{'distance': 9423.2, 'duration': 1035.7}"
908,9/350 Somerville Road West Footscray VIC 3012,420.0,"[-37.8108846, 144.8682873]",2,1,1,Apartment / Unit / Flat,Propper,3012,"{'distance': 515.8, 'duration': 91.5}","{'distance': 276.1, 'duration': 59.4}","{'distance': 2168.0, 'duration': 211.5}","{'distance': 9378.5, 'duration': 1004.4}"
909,207/699B Barkly Street West Footscray VIC 3012,320.0,"[-37.7964518, 144.8675987]",2,1,0,Apartment / Unit / Flat,Burnham Real Estate Footscray,3012,"{'distance': 371.7, 'duration': 68.6}","{'distance': 1019.8, 'duration': 129.0}","{'distance': 960.8, 'duration': 121.7}","{'distance': 9801.2, 'duration': 1088.8}"
910,2/11 Edmund Street Maidstone VIC 3012,430.0,"[-37.7835287, 144.875894]",2,2,1,Townhouse,Compton Green,3012,"{'distance': 447.3, 'duration': 64.4}","{'distance': 2325.1, 'duration': 237.1}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10078.2, 'duration': 1109.9}"
911,13 Thomson Street Maidstone VIC 3012,330.0,"[-37.7893695, 144.8748671]",3,1,2,Apartment / Unit / Flat,Trimson Partners,3012,"{'distance': 700.0, 'duration': 168.0}","{'distance': 1625.9, 'duration': 230.4}","{'distance': 2327.2, 'duration': 318.2}","{'distance': 9975.5, 'duration': 1144.1}"
912,158 Chirnside Street Kingsville VIC 3012,470.0,"[-37.8119886, 144.8816961]",2,1,0,House,McGrath Yarraville,3012,"{'distance': 455.9, 'duration': 72.7}","{'distance': 1089.3, 'duration': 146.0}","{'distance': 1658.1, 'duration': 237.0}","{'distance': 8517.3, 'duration': 937.5}"
913,3/36 Glamis Road West Footscray VIC 3012,565.0,"[-37.8071749, 144.8737776]",2,2,1,Townhouse,Buxton Inner West,3012,"{'distance': 405.8, 'duration': 58.4}","{'distance': 679.2, 'duration': 79.3}","{'distance': 1468.9, 'duration': 192.9}","{'distance': 8864.3, 'duration': 959.3}"
914,23 Gwelo Street West Footscray VIC 3012,430.0,"[-37.8018502, 144.8651073]",4,1,2,House,Harcourts Point Cook,3012,"{'distance': 303.1, 'duration': 54.5}","{'distance': 411.3, 'duration': 57.9}","{'distance': 534.1, 'duration': 76.8}","{'distance': 9550.1, 'duration': 1071.3}"
915,1/32 Beaumont Parade West Footscray VIC 3012,340.0,"[-37.8073014, 144.8668691]",2,1,1,Apartment / Unit / Flat,Melbourne Residential Property Management,3012,"{'distance': 933.7, 'duration': 128.0}","{'distance': 784.0, 'duration': 120.0}","{'distance': 2036.6, 'duration': 207.0}","{'distance': 9852.0, 'duration': 1056.8}"
916,50 Fisher Street Maidstone VIC 3012,600.0,"[-37.77798, 144.8804927]",3,2,4,House,Professionals St Albans,3012,"{'distance': 729.7, 'duration': 110.2}","{'distance': 1345.2, 'duration': 174.4}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 10834.1, 'duration': 1108.6}"
917,4 Howard Street Maidstone VIC 3012,450.0,"[-37.7892929, 144.8826417]",2,2,3,House,Douglas Kay Estate Agents,3012,"{'distance': 631.7, 'duration': 151.6}","{'distance': 1779.5, 'duration': 286.8}","{'distance': 3794.6, 'duration': 553.5}","{'distance': 9893.0, 'duration': 1163.5}"
918,2 Stonemark Court West Footscray VIC 3012,490.0,"[-37.7943545, 144.8805787]",3,1,1,House,Ray White Highton,3012,"{'distance': 304.9, 'duration': 60.0}","{'distance': 782.2, 'duration': 112.8}","{'distance': 2797.3, 'duration': 379.5}","{'distance': 9197.2, 'duration': 1041.9}"
919,3/27 Beaumont Parade West Footscray VIC 3012,430.0,"[-37.8077945, 144.8674063]",2,1,1,House,Hodges Yarraville,3012,"{'distance': 858.5, 'duration': 114.9}","{'distance': 708.8, 'duration': 106.8}","{'distance': 1961.4, 'duration': 193.8}","{'distance': 9776.8, 'duration': 1043.6}"
920,40 Dunedin Street Maidstone VIC 3012,550.0,"[-37.7803581, 144.8664922]",5,3,2,House,Barry Plant Sunshine,3012,"{'distance': 859.4, 'duration': 122.7}","{'distance': 2565.2, 'duration': 257.7}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 11420.1, 'duration': 1175.3}"
921,10/7-9 Hatfield Court West Footscray VIC 3012,300.0,"[-37.8092299, 144.8692204]",2,1,1,Apartment / Unit / Flat,"Sweeney Altona, Altona Meadows & Altona North",3012,"{'distance': 629.2, 'duration': 97.2}","{'distance': 673.8, 'duration': 115.7}","{'distance': 2233.0, 'duration': 232.9}","{'distance': 9776.2, 'duration': 1060.7}"
922,1/15 Clarke Street West Footscray VIC 3012,600.0,"[-37.79970640000001, 144.8776561]",3,2,2,Townhouse,Trimson Partners,3012,"{'distance': 573.3, 'duration': 122.3}","{'distance': 464.1, 'duration': 90.8}","{'distance': 2740.6, 'duration': 394.1}","{'distance': 9140.5, 'duration': 1056.5}"
923,3/14 Indwe Street West Footscray VIC 3012,420.0,"[-37.803027, 144.8654402]",2,1,1,House,Raine & Horne Williamstown,3012,"{'distance': 481.5, 'duration': 86.7}","{'distance': 589.7, 'duration': 90.0}","{'distance': 712.6, 'duration': 108.9}","{'distance': 9702.4, 'duration': 1066.5}"
924,3/28 Bishop Street Kingsville VIC 3012,290.0,"[-37.8103024, 144.8748195]",2,1,0,Apartment / Unit / Flat,Jas Stephens Real Estate Yarraville,3012,"{'distance': 662.9, 'duration': 103.2}","{'distance': 435.4, 'duration': 65.9}","{'distance': 1826.8, 'duration': 243.1}","{'distance': 9248.2, 'duration': 1007.6}"
925,6 View Street West Footscray VIC 3012,480.0,"[-37.7912612, 144.8741749]",3,1,2,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 897.9, 'duration': 167.5}","{'distance': 1378.5, 'duration': 171.0}","{'distance': 2078.3, 'duration': 263.0}","{'distance': 9793.5, 'duration': 1100.1}"
926,17 Norfolk Street Maidstone VIC 3012,430.0,"[-37.7890035, 144.8814168]",3,1,2,House,Barry Plant Sunshine,3012,"{'distance': 576.9, 'duration': 138.5}","{'distance': 1287.9, 'duration': 150.6}","{'distance': 3303.0, 'duration': 417.3}","{'distance': 9137.9, 'duration': 1031.2}"
927,2/36 Nolan Avenue Brooklyn VIC 3012,530.0,"[-37.8219417, 144.8452135]",3,2,2,Townhouse,Sweeney Estate Agents Williamstown,3012,"{'distance': 240.7, 'duration': 34.7}","{'distance': 2174.4, 'duration': 298.5}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 12507.6, 'duration': 1020.8}"
928,26 Churchill Ave Maidstone VIC 3012,390.0,"[-37.7843956, 144.8679435]",4,1,1,House,Moonee Valley Real Estate,3012,"{'distance': 118.0, 'duration': 16.3}","{'distance': 2114.1, 'duration': 248.0}","{'distance': 2055.1, 'duration': 240.6}","{'distance': 10550.8, 'duration': 1144.7}"
929,5/1 Clarendon Street Maidstone VIC 3012,500.0,"[-37.784875, 144.8671264]",3,1,1,Townhouse,Biggin & Scott Maribyrnong,3012,"{'distance': 140.1, 'duration': 18.6}","{'distance': 1997.6, 'duration': 239.2}","{'distance': 1938.7, 'duration': 231.8}","{'distance': 10664.9, 'duration': 1156.4}"
930,73 Cala Street West Footscray VIC 3012,395.0,"[-37.800627, 144.8668691]",2,1,1,House,RT Edgar Williamstown,3012,"{'distance': 1241.0, 'duration': 204.3}","{'distance': 419.5, 'duration': 46.5}","{'distance': 542.3, 'duration': 65.3}","{'distance': 9235.9, 'duration': 1024.0}"
931,8/695 Barkly Street West Footscray VIC 3012,450.0,"[-37.7972513, 144.8677634]",3,1,1,Townhouse,Biggin & Scott Maribyrnong,3012,"{'distance': 406.2, 'duration': 87.5}","{'distance': 1112.9, 'duration': 151.4}","{'distance': 1053.9, 'duration': 144.0}","{'distance': 9894.3, 'duration': 1111.1}"
932,78 Pitt Street West Footscray VIC 3012,360.0,"[-37.7926143, 144.8647635]",3,1,1,House,Bells Real Estate Sunshine,3012,"{'distance': 112.6, 'duration': 18.1}","{'distance': 1039.5, 'duration': 151.3}","{'distance': 980.5, 'duration': 144.0}","{'distance': 10464.3, 'duration': 1144.0}"
933,145 Suffolk Street West Footscray VIC 3012,595.0,"[-37.7899096, 144.8663535]",3,3,2,House,Jas Stephens Real Estate Yarraville,3012,"{'distance': 420.4, 'duration': 100.9}","{'distance': 1487.7, 'duration': 216.4}","{'distance': 1428.7, 'duration': 209.0}","{'distance': 10579.2, 'duration': 1178.1}"
934,2/105 Alma Street West Footscray VIC 3012,550.0,"[-37.7937919, 144.8640505]",3,2,2,Townhouse,Biggin & Scott Maribyrnong,3012,"{'distance': 399.8, 'duration': 69.8}","{'distance': 916.2, 'duration': 123.2}","{'distance': 857.2, 'duration': 115.9}","{'distance': 10581.9, 'duration': 1161.0}"
935,5/106 Rupert Street West Footscray VIC 3012,320.0,"[-37.7981132, 144.8692327]",1,1,1,Townhouse,Prop Connect,3012,"{'distance': 151.9, 'duration': 36.5}","{'distance': 1364.0, 'duration': 186.8}","{'distance': 1305.0, 'duration': 179.4}","{'distance': 9782.7, 'duration': 1109.2}"
936,3/19 Lae Street West Footscray VIC 3012,520.0,"[-37.8095327, 144.8663535]",2,3,1,Townhouse,Burnham Real Estate Footscray,3012,"{'distance': 396.6, 'duration': 48.3}","{'distance': 590.1, 'duration': 94.9}","{'distance': 2103.6, 'duration': 201.9}","{'distance': 9692.5, 'duration': 1039.9}"
937,7/34 Bishop Street Kingsville VIC 3012,300.0,"[-37.81072, 144.874925]",2,1,1,Apartment / Unit / Flat, @realty,3012,"{'distance': 730.6, 'duration': 91.4}","{'distance': 503.1, 'duration': 54.1}","{'distance': 1618.2, 'duration': 236.2}","{'distance': 9143.4, 'duration': 982.6}"
938,10/697 Barkly Street West Footscray VIC 3012,260.0,"[-37.7965575, 144.8677716]",1,1,1,Apartment / Unit / Flat,P Di Natale Real Estate,3012,"{'distance': 381.1, 'duration': 70.9}","{'distance': 1029.2, 'duration': 131.3}","{'distance': 970.2, 'duration': 124.0}","{'distance': 9810.6, 'duration': 1091.0}"
939,40 Suffolk Street West Footscray VIC 3012,340.0,"[-37.7908198, 144.8774841]",3,1,1,House,Burnham Real Estate Footscray,3012,"{'distance': 167.5, 'duration': 40.2}","{'distance': 1292.5, 'duration': 189.8}","{'distance': 3307.6, 'duration': 456.5}","{'distance': 9707.5, 'duration': 1118.9}"
940,15/6 Crefden Street Maidstone VIC 3012,380.0,"[-37.77757769999999, 144.8722409]",2,1,1,Apartment / Unit / Flat,Nelson Alexander Flemington,3012,"{'distance': 99.9, 'duration': 24.0}","{'distance': 2005.0, 'duration': 255.7}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 11493.9, 'duration': 1189.9}"
941,17 Gwelo Street West Footscray VIC 3012,360.0,"[-37.8018, 144.865527]",3,1,1,House,Hodges Yarraville,3012,"{'distance': 327.5, 'duration': 58.9}","{'distance': 435.7, 'duration': 62.3}","{'distance': 558.5, 'duration': 81.2}","{'distance': 9475.5, 'duration': 1062.1}"
942,16 Viola Avenue Brooklyn VIC 3012,395.0,"[-37.8208286, 144.8382111]",3,1,2,House,Barlow McEwan Tribe Altona,3012,"{'distance': 240.6, 'duration': 34.6}","{'distance': 2856.3, 'duration': 386.5}","{'duration': '0.0', 'distance': '0.0'}","{'distance': 13215.1, 'duration': 1120.3}"
943,Room 3/103 Stanhope Street West Footscray VIC 3012,165.0,"[-37.7951536, 144.8651502]",1,1,0,House,Burnham Real Estate Footscray,3012,"{'distance': 707.1, 'duration': 103.7}","{'distance': 885.2, 'duration': 116.0}","{'distance': 826.2, 'duration': 108.7}","{'distance': 10147.3, 'duration': 1148.7}"
944,Room 5/1 Dempster Street West Footscray VIC 3012,165.0,"[-37.8000376, 144.8623571]",0,2,0,House,Burnham Real Estate Footscray,3012,"{'distance': 454.8, 'duration': 68.6}","{'distance': 387.3, 'duration': 61.2}","{'distance': 328.4, 'duration': 53.8}","{'distance': 9848.3, 'duration': 1100.4}"
945,Room 6/1 Dempster Street West Footscray VIC 3012,165.0,"[-37.8000376, 144.8623571]",1,2,0,House,Burnham Real Estate Footscray,3012,"{'distance': 454.8, 'duration': 68.6}","{'distance': 387.3, 'duration': 61.2}","{'distance': 328.4, 'duration': 53.8}","{'distance': 9848.3, 'duration': 1100.4}"
946,Room 8/103 Stanhope Street West Footscray VIC 3012,165.0,"[-37.7951536, 144.8651502]",1,1,0,House,Burnham Real Estate Footscray,3012,"{'distance': 707.1, 'duration': 103.7}","{'distance': 885.2, 'duration': 116.0}","{'distance': 826.2, 'duration': 108.7}","{'distance': 10147.3, 'duration': 1148.7}"
947,6/30 Bishop Street Kingsville VIC 3012,270.0,"[-37.8104264, 144.8748625]",1,1,0,Apartment / Unit / Flat,Sweeney Estate Agents Yarraville,3012,"{'distance': 762.1, 'duration': 95.9}","{'distance': 534.7, 'duration': 58.7}","{'distance': 1586.7, 'duration': 231.6}","{'distance': 9174.9, 'duration': 987.1}"
948,2/4 Hatfield Court West Footscray VIC 3012,320.0,"[-37.8085957, 144.8692757]",2,1,1,Apartment / Unit / Flat,Trimson Partners,3012,"{'distance': 579.4, 'duration': 90.0}","{'distance': 623.9, 'duration': 108.6}","{'distance': 2183.1, 'duration': 225.7}","{'distance': 9726.3, 'duration': 1053.5}"
949,room 2/1 Dempster Street West Footscray VIC 3012,165.0,"[-37.8000376, 144.8623571]",1,2,0,House,Burnham Real Estate Footscray,3012,"{'distance': 454.8, 'duration': 68.6}","{'distance': 387.3, 'duration': 61.2}","{'distance': 328.4, 'duration': 53.8}","{'distance': 9848.3, 'duration': 1100.4}"
