,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Nearby_Schools,Primary_Distance,Secondary_Distance
1776,87 Williams Landing Boulevard Williams Landing VIC 3027,420.0,"[-37.8622817, 144.7514061]",3,2,2,House,Raine & Horne Point Cook - Williams Landing,3027,342,"{'distance': 4063.8, 'duration': 358.8}","{'distance': 4063.8, 'duration': 358.8}"
1777,6/1 Clark Street Williams Landing VIC 3027,390.0,"[-37.8661175, 144.7418472]",2,2,1,Apartment / Unit / Flat,Hodges Werribee,3027,315,"{'distance': 2585.3, 'duration': 290.2}","{'distance': 3352.1, 'duration': 345.0}"
1778,45 Woodbury Street Williams Landing VIC 3027,440.0,"[-37.8646876, 144.7503157]",3,2,2,House,Ace Real Estate,3027,342,"{'distance': 3591.7, 'duration': 370.0}","{'distance': 4223.3, 'duration': 388.7}"
1779,20 Loon Drive Williams Landing VIC 3027,450.0,"[-37.85943779999999, 144.73303]",4,2,1,House,Regent Estate Agents,3027,287,"{'distance': 1515.0, 'duration': 187.0}","{'distance': 1683.1, 'duration': 195.4}"
1780,54 Fantail Crescent Williams Landing VIC 3027,495.0,"[-37.853805, 144.7340168]",4,2,2,House,Ace Real Estate,3027,290,"{'distance': 1119.4, 'duration': 163.1}","{'distance': 1119.4, 'duration': 163.1}"
1781,14 Eamon Walk Williams Landing VIC 3027,420.0,"[-37.861925, 144.7420609]",3,2,2,House,Harcourts Point Cook,3027,309,"{'distance': 2578.7, 'duration': 297.9}","{'distance': 3498.6, 'duration': 351.4}"
1782,44 Coleridge Circuit Williams Landing VIC 3027,490.0,"[-37.8646955, 144.7377495]",4,2,3,House,Sweeney Estate Agents Yarraville,3027,297,"{'distance': 2208.5, 'duration': 259.1}","{'distance': 3128.5, 'duration': 312.5}"
1783,63 Australis Drive Williams Landing VIC 3027,490.0,"[-37.8623796, 144.7444861]",5,2,2,House,.established Property,3027,316,"{'distance': 2602.3, 'duration': 289.1}","{'distance': 3522.2, 'duration': 342.6}"
1784,24 De Havilland Circuit Williams Landing VIC 3027,500.0,"[-37.8561618, 144.7448294]",4,2,2,House,Ray White Altona,3027,317,"{'distance': 3073.4, 'duration': 250.8}","{'distance': 3073.4, 'duration': 250.8}"
1785,207/2 Clark Street Williams Landing VIC 3027,380.0,"[-37.8664039, 144.7426398]",2,1,1,Apartment / Unit / Flat,Hodges Werribee,3027,317,"{'distance': 2555.8, 'duration': 289.4}","{'distance': 3322.6, 'duration': 344.1}"
1786,301/115 Overton Road Williams Landing VIC 3027,370.0,"[-37.8662889, 144.7430915]",2,1,1,Apartment / Unit / Flat,P Di Natale Real Estate,3027,317,"{'distance': 2644.6, 'duration': 302.1}","{'distance': 3411.4, 'duration': 356.9}"
1787,202/1 Clark Street Williams Landing VIC 3027,390.0,"[-37.8661175, 144.7418472]",2,2,1,Apartment / Unit / Flat,RE/MAX ACPA,3027,315,"{'distance': 2585.3, 'duration': 290.2}","{'distance': 3352.1, 'duration': 345.0}"
1788,16 Quimby Street Williams Landing VIC 3027,470.0,"[-37.8632145, 144.7507512]",4,2,2,House,VICPROP Point Cook and Williams Landing,3027,341,"{'distance': 4132.4, 'duration': 370.9}","{'distance': 4132.4, 'duration': 370.9}"
1789,61 Williams Landing Blvd Williams Landing VIC 3027,440.0,"[-37.8623428, 144.7514514]",3,2,2,House,Manage Melbourne,3027,342,"{'distance': 4067.8, 'duration': 359.2}","{'distance': 4067.8, 'duration': 359.2}"
1790,34 Australis Drive Williams Landing VIC 3027,435.0,"[-37.86035, 144.7428126]",3,2,2,House,First National Real Estate Lakra,3027,308,"{'distance': 2893.3, 'duration': 332.7}","{'distance': 3813.2, 'duration': 386.2}"
1791,27 appleby Williams Landing VIC 3027,435.0,"[-37.8599077, 144.7541199]",4,2,2,House,HonorBond Real Estate,3027,342,"{'distance': 3410.1, 'duration': 355.9}","{'distance': 3410.1, 'duration': 355.9}"
1792,12 Australis Drive Williams Landing VIC 3027,490.0,"[-37.858592, 144.7418257]",4,2,2,House,Jupiter Real Estate Pty Ltd,3027,304,"{'distance': 3088.0, 'duration': 360.8}","{'distance': 3130.5, 'duration': 399.0}"
1793,21 Fantail Crescent Williams Landing VIC 3027,465.0,"[-37.8551065, 144.7356901]",4,2,2,House,N7 Real Estate Caroline Springs,3027,290,"{'distance': 1370.1, 'duration': 178.6}","{'distance': 1370.1, 'duration': 178.6}"
1794,37 Hoddle Way Altona Meadows VIC 3028,400.0,"[-37.8888579, 144.7841871]",3,2,2,House,Jellis Craig Inner West,3028,275,"{'distance': 409.4, 'duration': 45.3}","{'distance': 10357.1, 'duration': 958.4}"
1795,A/124 Bladin Street Laverton VIC 3028,390.0,"[-37.8572169, 144.770515]",3,2,5,House,Dream Homes Real Estate,3028,379,"{'distance': 232.0, 'duration': 21.3}","{'distance': 232.0, 'duration': 21.3}"
1796,3/26-28 Balmoral Street South Altona Meadows VIC 3028,320.0,"[-37.8693726, 144.7651361]",2,1,1,Apartment / Unit / Flat,P Di Natale Real Estate,3028,404,"{'distance': 1571.3, 'duration': 180.2}","{'distance': 2897.1, 'duration': 346.2}"
1797,1/25 Point Cook Road Seabrook VIC 3028,330.0,"[-37.8733183, 144.7595718]",2,1,1,Apartment / Unit / Flat,Williams Real Estate,3028,372,"{'distance': 691.1, 'duration': 72.3}","{'distance': 2853.4, 'duration': 294.0}"
1798,21 Myers Parade Altona Meadows VIC 3028,400.0,"[-37.8728313, 144.7742708]",3,1,1,House,Hunter French Real Estate - Altona Meadows,3028,380,"{'distance': 1443.9, 'duration': 135.8}","{'distance': 4009.1, 'duration': 429.8}"
1799,108 Shane Avenue Seabrook VIC 3028,430.0,"[-37.8806742, 144.7529398]",3,2,2,House,Barry Plant Point Cook,3028,320,"{'distance': 916.0, 'duration': 110.5}","{'distance': 2286.0, 'duration': 265.2}"
1800,58 Wackett Street Laverton VIC 3028,320.0,"[-37.85506669999999, 144.771309]",3,1,0,House,Ace Real Estate,3028,388,"{'distance': 209.3, 'duration': 19.6}","{'distance': 209.3, 'duration': 19.6}"
1801,4 Gates Court Altona Meadows VIC 3028,370.0,"[-37.8819538, 144.7838008]",3,1,4,House,"Sweeney Altona, Altona Meadows & Altona North",3028,303,"{'distance': 676.9, 'duration': 73.3}","{'distance': 4670.6, 'duration': 442.8}"
1802,17 Spindrift Way Seabrook VIC 3028,450.0,"[-37.8862671, 144.7535406]",3,2,2,House,Barry Plant Point Cook,3028,287,"{'distance': 1145.6, 'duration': 141.9}","{'distance': 1145.6, 'duration': 141.9}"
1803,1A Nelson Avenue Altona Meadows VIC 3028,350.0,"[-37.880422, 144.785247]",2,1,1,House,Hunter French Real Estate - Altona Meadows,3028,318,"{'distance': 764.7, 'duration': 64.8}","{'distance': 4419.7, 'duration': 404.4}"
1804,29 Graham Court Altona Meadows VIC 3028,420.0,"[-37.87341199999999, 144.7787352]",3,1,3,House,Hunter French Real Estate - Altona Meadows,3028,371,"{'distance': 1044.5, 'duration': 113.5}","{'distance': 4382.2, 'duration': 463.3}"
1805,9 O'Brien Court Altona Meadows VIC 3028,455.0,"[-37.8746018, 144.7875358]",3,1,1,House,Mancini Real Estate ,3028,340,"{'distance': 801.3, 'duration': 87.8}","{'distance': 3944.8, 'duration': 372.5}"
1806,24 Henderson street Laverton VIC 3028,360.0,"[-37.8494882, 144.7771469]",3,1,0,House,Ace Real Estate,3028,433,"{'distance': 786.8, 'duration': 106.9}","{'distance': 1079.7, 'duration': 114.4}"
1807,2/23 Mayfield Grove Altona Meadows VIC 3028,380.0,"[-37.8701692, 144.7580896]",3,2,2,House,Hunter French Real Estate - Altona Meadows,3028,391,"{'distance': 1181.3, 'duration': 122.3}","{'distance': 3178.8, 'duration': 352.6}"
1808,36 Charlesworth St Laverton VIC 3028,340.0,"[-37.8592596, 144.773026]",3,1,0,House,Ace Real Estate,3028,388,"{'distance': 937.5, 'duration': 140.9}","{'distance': 937.5, 'duration': 140.9}"
1809,4 Snowden Street Laverton VIC 3028,330.0,"[-37.8541328, 144.7733694]",3,1,1,House,Mancini Real Estate ,3028,396,"{'distance': 468.1, 'duration': 62.2}","{'distance': 468.1, 'duration': 62.2}"
1810,324A Queen Street Altona Meadows VIC 3028,430.0,"[-37.8733918, 144.7845306]",3,2,2,Townhouse,Barlow McEwan Tribe Altona,3028,357,"{'distance': 757.2, 'duration': 76.3}","{'distance': 3900.7, 'duration': 361.0}"
1811,13 Parkside Walk Laverton VIC 3028,460.0,"[-37.8520906, 144.7727611]",3,3,2,House,Ace Real Estate,3028,397,"{'distance': 702.7, 'duration': 95.6}","{'distance': 702.7, 'duration': 95.6}"
1812,1A Tyrell Court Altona Meadows VIC 3028,350.0,"[-37.877187, 144.781125]",3,1,3,Apartment / Unit / Flat,Barlow McEwan Tribe Altona,3028,340,"{'distance': 1145.1, 'duration': 140.7}","{'distance': 4641.5, 'duration': 444.2}"
1813,1 Goble Street Laverton VIC 3028,360.0,"[-37.8618848, 144.7689912]",3,1,2,House,Hunter French Real Estate - Altona Meadows,3028,371,"{'distance': 822.5, 'duration': 87.7}","{'distance': 822.5, 'duration': 87.7}"
1814,120/390 Queen Street Altona Meadows VIC 3028,395.0,"[-37.8719467, 144.7781771]",2,2,1,House,Barry Plant Point Cook,3028,380,"{'distance': 600.8, 'duration': 53.7}","{'distance': 3938.6, 'duration': 403.6}"
1815,218/390 Queen Street Altona Meadows VIC 3028,390.0,"[-37.8719467, 144.7781771]",2,2,1,Apartment / Unit / Flat,"Sweeney Altona, Altona Meadows & Altona North",3028,380,"{'distance': 600.8, 'duration': 53.7}","{'distance': 3938.6, 'duration': 403.6}"
1816,86 Nelson Drive Altona Meadows VIC 3028,340.0,"[-37.88006379999999, 144.7773186]",2,1,2,House,"Sweeney Altona, Altona Meadows & Altona North",3028,322,"{'distance': 1832.4, 'duration': 155.6}","{'distance': 5128.5, 'duration': 506.4}"
1817,5/1-3 Bellin Street Laverton VIC 3028,420.0,"[-37.852183, 144.7769322]",3,2,2,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3028,432,"{'distance': 164.1, 'duration': 29.5}","{'distance': 712.8, 'duration': 83.1}"
1818,18 Cameron Avenue Altona Meadows VIC 3028,405.0,"[-37.8682711, 144.7763742]",4,1,4,House,Douglas Kay Estate Agents,3028,409,"{'distance': 303.2, 'duration': 42.7}","{'distance': 4153.2, 'duration': 400.3}"
1819,1/57 Linden Street Altona Meadows VIC 3028,420.0,"[-37.8675613, 144.7771475]",3,2,2,Townhouse,Mancini Real Estate ,3028,407,"{'distance': 378.2, 'duration': 46.0}","{'distance': 4066.2, 'duration': 388.9}"
1820,127A Alma Avenue Laverton VIC 3028,325.0,"[-37.867795, 144.7653]",2,1,1,Apartment / Unit / Flat,Ace Real Estate,3028,391,"{'distance': 2185.7, 'duration': 223.3}","{'distance': 2282.3, 'duration': 255.4}"
1821,5 Fitzpatrick Drive Altona Meadows VIC 3028,360.0,"[-37.8708713, 144.761523]",3,1,1,House,Ace Real Estate,3028,392,"{'distance': 1191.7, 'duration': 133.5}","{'distance': 2517.5, 'duration': 299.5}"
1822,20 Canonbury Circle Seabrook VIC 3028,460.0,"[-37.8800359, 144.7595273]",3,2,2,House,Barry Plant Point Cook,3028,325,"{'distance': 1062.5, 'duration': 128.9}","{'distance': 2358.9, 'duration': 279.2}"
1823,6 Badge Court Laverton VIC 3028,340.0,"[-37.86051399999999, 144.767167]",3,1,2,House,Ace Real Estate,3028,370,"{'distance': 1081.4, 'duration': 133.9}","{'distance': 1081.4, 'duration': 133.9}"
1824,10 Walters Court Altona Meadows VIC 3028,440.0,"[-37.8747771, 144.7722963]",3,2,0,House,Mancini Real Estate ,3028,356,"{'distance': 1310.0, 'duration': 116.5}","{'distance': 3875.2, 'duration': 410.5}"
1825,10 Reddrop Court Altona Meadows VIC 3028,410.0,"[-37.8786326, 144.7734553]",4,2,2,House,Mancini Real Estate ,3028,325,"{'distance': 1835.0, 'duration': 198.3}","{'distance': 4400.1, 'duration': 492.2}"
1826,5/21 Sumers Street Laverton VIC 3028,330.0,"[-37.8602259, 144.7670168]",1,1,1,Apartment / Unit / Flat,Nelson Alexander Docklands,3028,370,"{'distance': 826.0, 'duration': 127.9}","{'distance': 826.0, 'duration': 127.9}"
1827,28 Chirnside Crescent Laverton VIC 3028,380.0,"[-37.8497325, 144.7786064]",3,1,2,House,YPA Estate Agents Point Cook,3028,450,"{'distance': 556.8, 'duration': 100.2}","{'distance': 1068.5, 'duration': 130.0}"
1828,1 Selwood Place Altona Meadows VIC 3028,420.0,"[-37.884934200000004, 144.7745284]",3,1,2,House,"Sweeney Altona, Altona Meadows & Altona North",3028,279,"{'distance': 1291.8, 'duration': 125.3}","{'distance': 6721.9, 'duration': 609.2}"
1829,1/172 Merton Street Altona Meadows VIC 3028,355.0,"[-37.8760227, 144.7767351]",2,1,1,Apartment / Unit / Flat,Mancini Real Estate ,3028,348,"{'distance': 1020.5, 'duration': 103.9}","{'distance': 4358.3, 'duration': 453.8}"
1830,Altona Meadows VIC 3028,420.0,"[-37.8817589, 144.7844018]",3,1,3,House,Mancini Real Estate ,3028,303,"{'distance': 701.5, 'duration': 76.8}","{'distance': 4646.0, 'duration': 439.3}"
1831,13 Tyquin Street Laverton VIC 3028,470.0,"[-37.8476086, 144.7798513]",3,2,1,House,Ace Real Estate,3028,455,"{'distance': 880.7, 'duration': 149.4}","{'distance': 1452.7, 'duration': 168.1}"
1832,1A Huggins Court Altona Meadows VIC 3028,340.0,"[-37.877093, 144.782283]",2,1,1,House,Compton Green,3028,339,"{'distance': 1273.2, 'duration': 135.2}","{'distance': 4555.6, 'duration': 431.9}"
1833,5 George Benjamin Court Seabrook VIC 3028,480.0,"[-37.887852, 144.756891]",3,2,1,Townhouse,Hedley Perrett Real Estate,3028,278,"{'distance': 1770.4, 'duration': 222.4}","{'distance': 1966.4, 'duration': 238.2}"
1834,6/15 Barwise Street Laverton VIC 3028,550.0,"[-37.8530442, 144.7748718]",4,3,2,House,Ace Real Estate,3028,405,"{'distance': 303.9, 'duration': 54.3}","{'distance': 482.5, 'duration': 60.7}"
1835,2/64 Talbot Street Altona Meadows VIC 3028,375.0,"[-37.870888, 144.7853217]",2,1,1,Apartment / Unit / Flat,"Sweeney Altona, Altona Meadows & Altona North",3028,357,"{'distance': 1140.8, 'duration': 90.9}","{'distance': 4100.7, 'duration': 377.5}"
1836,2/12 Reddrop Court Altona Meadows VIC 3028,350.0,"[-37.8785551, 144.7735212]",2,1,1,Apartment / Unit / Flat,Mancini Real Estate ,3028,326,"{'distance': 1825.5, 'duration': 196.0}","{'distance': 4390.7, 'duration': 490.0}"
1837,129 Merton Street Altona Meadows VIC 3028,380.0,"[-37.8757987, 144.7774366]",3,1,2,House,"Sweeney Altona, Altona Meadows & Altona North",3028,362,"{'distance': 989.2, 'duration': 101.4}","{'distance': 4327.0, 'duration': 451.3}"
1838,129 Bladin Street Laverton VIC 3028,340.0,"[-37.861233, 144.7702789]",3,1,2,House,Ace Real Estate,3028,376,"{'distance': 719.8, 'duration': 75.1}","{'distance': 719.8, 'duration': 75.1}"
1839,9 Cole Street Laverton VIC 3028,340.0,"[-37.8522912, 144.7711803]",3,1,2,House,Barry Plant Point Cook,3028,391,"{'distance': 612.5, 'duration': 59.2}","{'distance': 612.5, 'duration': 59.2}"
1840,8 Laird Drive Altona Meadows VIC 3028,380.0,"[-37.87573, 144.7873211]",3,1,2,House,Ace Real Estate,3028,336,"{'distance': 1290.1, 'duration': 124.2}","{'distance': 4618.3, 'duration': 430.8}"
1841,1B Allen Street Laverton VIC 3028,440.0,"[-37.8628597, 144.7692595]",3,2,1,House,Ace Real Estate,3028,375,"{'distance': 869.0, 'duration': 89.4}","{'distance': 869.0, 'duration': 89.4}"
1842,16 Mildenhall Court Altona Meadows VIC 3028,400.0,"[-37.8742288, 144.7843159]",4,2,1,House,Mancini Real Estate ,3028,357,"{'distance': 1008.6, 'duration': 113.2}","{'distance': 4152.1, 'duration': 397.9}"
1843,2 Gazley Court Altona Meadows VIC 3028,350.0,"[-37.8740786, 144.7713924]",3,1,1,House,Hunter French Real Estate - Altona Meadows,3028,364,"{'distance': 1327.9, 'duration': 119.1}","{'distance': 3893.0, 'duration': 413.0}"
1844,11 Bladin Street Laverton VIC 3028,380.0,"[-37.849275, 144.7743674]",3,2,0,House,Ace Real Estate,3028,413,"{'distance': 624.7, 'duration': 79.2}","{'distance': 917.6, 'duration': 86.7}"
1845,66 Mintaro Way Seabrook VIC 3028,440.0,"[-37.8775619, 144.7611797]",3,2,2,House,Ace Real Estate,3028,329,"{'distance': 596.0, 'duration': 84.8}","{'distance': 2758.2, 'duration': 306.4}"
1846,9 Susmann Court Altona Meadows VIC 3028,390.0,"[-37.8757885, 144.7821694]",3,1,1,House,Barry Plant Point Cook,3028,346,"{'distance': 1063.9, 'duration': 125.2}","{'distance': 4329.0, 'duration': 421.8}"
1847,25 Whitehead Court Altona Meadows VIC 3028,400.0,"[-37.8719429, 144.7716009]",3,1,2,House,Mancini Real Estate ,3028,380,"{'distance': 1493.8, 'duration': 143.0}","{'distance': 4059.0, 'duration': 436.9}"
1848,325 Queen Street Altona Meadows VIC 3028,380.0,"[-37.8730453, 144.7856468]",3,1,2,House,Mancini Real Estate ,3028,357,"{'distance': 671.9, 'duration': 69.9}","{'distance': 3815.4, 'duration': 354.6}"
1849,2/60 Trafalgar Avenue Altona Meadows VIC 3028,320.0,"[-37.877656, 144.780341]",2,1,1,House,Mancini Real Estate ,3028,339,"{'distance': 1279.3, 'duration': 160.0}","{'distance': 4775.7, 'duration': 463.6}"
1850,3/37-39 May Avenue Altona Meadows VIC 3028,380.0,"[-37.880052, 144.7735378]",3,1,1,Apartment / Unit / Flat,Mancini Real Estate ,3028,318,"{'distance': 2024.0, 'duration': 205.0}","{'distance': 4552.1, 'duration': 528.7}"
1851,3/113-115 Railway Avenue Laverton VIC 3028,350.0,"[-37.8659604, 144.7674253]",2,1,1,House,Mancini Real Estate ,3028,372,"{'distance': 1868.4, 'duration': 199.4}","{'distance': 2509.4, 'duration': 269.3}"
1852,48 May Avenue Altona Meadows VIC 3028,340.0,"[-37.879321, 144.772139]",2,1,1,House,Mancini Real Estate ,3028,318,"{'distance': 3299.7, 'duration': 380.4}","{'distance': 4625.5, 'duration': 546.3}"
1853,31 Ailsa Street (BACK) Altona Meadows VIC 3028,320.0,"[-37.8694923, 144.7630252]",2,1,0,House,Ace Real Estate,3028,400,"{'distance': 1309.9, 'duration': 145.9}","{'distance': 2635.6, 'duration': 311.8}"
1854,1/99-101 Old Geelong Road Laverton VIC 3028,470.0,"[-37.8505858, 144.7708798]",3,3,2,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,397,"{'distance': 1087.2, 'duration': 95.7}","{'distance': 1087.2, 'duration': 95.7}"
1855,2/19 Railway Avenue Laverton VIC 3028,360.0,"[-37.8636234, 144.7759879]",2,1,1,House,Ray White Point Cook,3028,426,"{'distance': 1038.2, 'duration': 105.6}","{'distance': 3106.2, 'duration': 317.7}"
1856,6 Evans Crescent Laverton VIC 3028,330.0,"[-37.8558257, 144.7744855]",3,1,2,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,394,"{'distance': 287.4, 'duration': 34.4}","{'distance': 287.4, 'duration': 34.4}"
1857,8 Creswick Street Laverton VIC 3028,450.0,"[-37.85522539999999, 144.7760308]",3,2,2,House,Biggin & Scott Altona North,3028,406,"{'distance': 256.5, 'duration': 41.2}","{'distance': 550.8, 'duration': 72.3}"
1858,2/39 Powlett Street Altona Meadows VIC 3028,360.0,"[-37.8683877, 144.7816114]",2,1,1,Apartment / Unit / Flat,Beyond Property,3028,375,"{'distance': 210.2, 'duration': 26.0}","{'distance': 4674.4, 'duration': 420.2}"
1859,6 Butcher Crescent Laverton VIC 3028,330.0,"[-37.8512148, 144.7721334]",3,1,1,House,Ray White Point Cook,3028,397,"{'distance': 805.7, 'duration': 102.0}","{'distance': 805.7, 'duration': 102.0}"
1860,12 Chirnside Crescent Laverton VIC 3028,325.0,"[-37.8504412, 144.7766318]",3,1,2,House,Ray White Point Cook,3028,424,"{'distance': 486.8, 'duration': 87.6}","{'distance': 884.1, 'duration': 96.8}"
1861,33 Woods Street Laverton VIC 3028,300.0,"[-37.8621314, 144.7737557]",3,1,1,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,388,"{'distance': 1126.4, 'duration': 145.0}","{'distance': 1126.4, 'duration': 145.0}"
1862,25 Bladin Street Laverton VIC 3028,325.0,"[-37.8503208, 144.7752152]",3,1,1,House,Xynergy Realty Altona,3028,414,"{'distance': 488.3, 'duration': 68.3}","{'distance': 781.2, 'duration': 75.8}"
1863,23 Tyquin Street Laverton VIC 3028,320.0,"[-37.8483295, 144.7797225]",3,1,2,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,453,"{'distance': 799.9, 'duration': 137.8}","{'distance': 1371.8, 'duration': 156.5}"
1864,14 Catherine Road Seabrook VIC 3028,380.0,"[-37.8781296, 144.7552357]",3,1,1,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,336,"{'distance': 320.4, 'duration': 43.6}","{'distance': 2482.7, 'duration': 265.3}"
1865,23 Williams Road Laverton VIC 3028,300.0,"[-37.8607834, 144.7762025]",3,1,1,House,Xynergy Realty Altona,3028,431,"{'distance': 1492.7, 'duration': 186.4}","{'distance': 1492.7, 'duration': 186.4}"
1866,4 Wright Street Laverton VIC 3028,320.0,"[-37.8602811, 144.7736699]",2,1,2,House,Ray White Point Cook,3028,390,"{'distance': 1110.8, 'duration': 131.4}","{'distance': 1110.8, 'duration': 131.4}"
1867,32 Thomas Street Laverton VIC 3028,340.0,"[-37.8615728, 144.7706867]",4,1,2,House,Stockdale & Leggo Laverton / Altona / Point Cook,3028,376,"{'distance': 762.0, 'duration': 81.2}","{'distance': 762.0, 'duration': 81.2}"
1868,1/25 Williams Road Laverton VIC 3028,360.0,"[-37.8609802, 144.7761034]",3,1,2,Apartment / Unit / Flat,Ray White Point Cook,3028,431,"{'distance': 1515.8, 'duration': 189.8}","{'distance': 1515.8, 'duration': 189.8}"
1869,52 Tyquin Street Laverton VIC 3028,340.0,"[-37.851052, 144.7789498]",3,1,0,House,Ray White Point Cook,3028,450,"{'distance': 470.6, 'duration': 81.7}","{'distance': 949.0, 'duration': 122.6}"
1870,6 Williams Road Laverton VIC 3028,330.0,"[-37.8604545, 144.7757732]",3,1,5,House,Ray White Point Cook,3028,432,"{'distance': 1463.6, 'duration': 182.2}","{'distance': 1463.6, 'duration': 182.2}"
1871,1 Jones Court Laverton VIC 3028,325.0,"[-37.8509858, 144.7759879]",3,1,3,House,Ray White Point Cook,3028,415,"{'distance': 429.4, 'duration': 66.8}","{'distance': 722.3, 'duration': 74.3}"
1872,32 Woods Street Laverton VIC 3028,300.0,"[-37.861835, 144.7734414]",3,1,1,House,Ray White Point Cook,3028,386,"{'distance': 1110.0, 'duration': 142.6}","{'distance': 1110.0, 'duration': 142.6}"
1873,14 Addison Place Seabrook VIC 3028,410.0,"[-37.8808896, 144.7598967]",3,2,6,House,Ray White Point Cook,3028,320,"{'distance': 1235.2, 'duration': 153.8}","{'distance': 2531.6, 'duration': 304.1}"
1874,2 Canonbury Circle Seabrook VIC 3028,400.0,"[-37.8801714, 144.7615851]",3,2,2,House,Ray White Point Cook,3028,318,"{'distance': 1153.3, 'duration': 142.0}","{'distance': 2449.8, 'duration': 292.3}"
1875,3 Armstrong Street Laverton VIC 3028,340.0,"[-37.860202, 144.773026]",3,1,0,House,Ray White Point Cook,3028,384,"{'distance': 864.8, 'duration': 130.4}","{'distance': 864.8, 'duration': 130.4}"
1876,11 Spicer Boulevard Altona Meadows VIC 3028,350.0,"[-37.878906, 144.767142]",3,1,3,House,Ray White Point Cook,3028,296,"{'distance': 2829.0, 'duration': 352.5}","{'distance': 5473.9, 'duration': 533.7}"
1877,151 Merton Street Altona Meadows VIC 3028,360.0,"[-37.877848, 144.776929]",3,2,1,House,Ray White Point Cook,3028,340,"{'distance': 1223.1, 'duration': 129.3}","{'distance': 4560.9, 'duration': 479.1}"
1878,17 ESTHER COURT Seabrook VIC 3028,360.0,"[-37.8792906, 144.7551713]",3,1,2,House,Ray White Point Cook,3028,335,"{'distance': 429.9, 'duration': 59.4}","{'distance': 2592.1, 'duration': 281.0}"
1879,9/161-165 Railway Avenue Laverton VIC 3028,330.0,"[-37.866971, 144.7621652]",2,1,2,Apartment / Unit / Flat,Ray White Point Cook,3028,371,"{'distance': 1543.8, 'duration': 181.0}","{'distance': 1834.0, 'duration': 204.1}"
1880,1 Bruce Street Laverton VIC 3028,350.0,"[-37.8660744, 144.7671317]",3,1,1,House,Ray White Point Cook,3028,372,"{'distance': 1910.8, 'duration': 191.6}","{'distance': 2331.8, 'duration': 245.7}"
1881,16 Maher Road Laverton VIC 3028,295.0,"[-37.8626265, 144.7737128]",3,1,0,House,Ray White Point Cook,3028,388,"{'distance': 1376.2, 'duration': 161.7}","{'distance': 1376.2, 'duration': 161.7}"
1882,98 Tyquin Street Laverton VIC 3028,320.0,"[-37.85499799999999, 144.7781342]",3,1,2,House,THE ELEET Caroline Springs,3028,445,"{'distance': 270.4, 'duration': 48.7}","{'distance': 631.0, 'duration': 87.8}"
1883,2/25 Williams Road Laverton VIC 3028,310.0,"[-37.8610222, 144.7763886]",2,1,2,House,Ray White Point Cook,3028,431,"{'distance': 1515.8, 'duration': 189.8}","{'distance': 1515.8, 'duration': 189.8}"
1884,2/277 VICTORIA STREET Altona Meadows VIC 3028,325.0,"[-37.8890366, 144.7804355]",2,1,1,Apartment / Unit / Flat,Ray White Point Cook,3028,275,"{'distance': 483.8, 'duration': 44.6}","{'distance': 9947.6, 'duration': 936.2}"
1885,7 Grace Street Laverton VIC 3028,320.0,"[-37.864868, 144.772954]",3,1,3,House,Ray White Point Cook,3028,415,"{'distance': 1399.6, 'duration': 144.3}","{'distance': 2903.3, 'duration': 291.5}"
1886,35 Stratus Street Tarneit VIC 3029,360.0,"[-37.8387193, 144.6398517]",3,2,2,House,RPM Real Estate Group,3029,119,"{'distance': 3834.1, 'duration': 366.5}","{'distance': 4798.3, 'duration': 505.2}"
1887,33 Stratus Street Tarneit VIC 3029,360.0,"[-37.8387193, 144.6398517]",3,2,2,House,RPM Real Estate Group,3029,119,"{'distance': 3834.1, 'duration': 366.5}","{'distance': 4798.3, 'duration': 505.2}"
1888,37 Award Crescent Truganina VIC 3029,410.0,"[-37.8484376, 144.7159131]",3,2,3,House,Motion Property,3029,251,"{'distance': 1253.9, 'duration': 162.4}","{'distance': 1253.9, 'duration': 162.4}"
1889,35 Delias Road Tarneit VIC 3029,440.0,"[-37.848672, 144.6559893]",4,2,2,House,Bloom Estate Agents,3029,160,"{'distance': 1107.4, 'duration': 158.6}","{'distance': 1107.4, 'duration': 158.6}"
1890,33 Stony Brook Way Truganina VIC 3029,460.0,"[-37.8400971, 144.7150553]",4,2,4,House,Bloom Estate Agents,3029,287,"{'distance': 665.2, 'duration': 95.8}","{'distance': 665.2, 'duration': 95.8}"
1891,23 Chantelle Pde Tarneit VIC 3029,450.0,"[-37.8531394, 144.6638552]",4,2,2,House,Bloom Estate Agents,3029,177,"{'distance': 545.1, 'duration': 78.5}","{'distance': 545.1, 'duration': 78.5}"
1892,4 Talina Close Hoppers Crossing VIC 3029,350.0,"[-37.8724402, 144.6679277]",4,2,1,House,YPA Estate Agents Wyndham City,3029,166,"{'distance': 1679.6, 'duration': 243.0}","{'distance': 3116.9, 'duration': 309.9}"
